,WineID,WineName,WineryName,Country,Type,full_text
70,101678,Touriga Nacional,Quinta do Vallado,Portugal,Red,Touriga Nacional by Quinta do Vallado (Portugal)
71,101693,Douro,Quinta do Vale Meão,Portugal,Red,Douro by Quinta do Vale Meão (Portugal)
72,101701,Tinto,Portas da Herdade,Portugal,Red,Tinto by Portas da Herdade (Portugal)
73,101713,Alentejo Tinto,Monsaraz,Portugal,Red,Alentejo Tinto by Monsaraz (Portugal)
74,101783,Colheita Seleccionada Tinto,Marquês de Marialva,Portugal,Red,Colheita Seleccionada Tinto by Marquês de Marialva (Portugal)
75,101847,Dona Antonia Porto Reserva Tawny,Porto Ferreira,Portugal,Dessert/Port,Dona Antonia Porto Reserva Tawny by Porto Ferreira (Portugal)
76,101874,Douro Tinto,Kopke,Portugal,Red,Douro Tinto by Kopke (Portugal)
77,101970,Vinho Verde Bruto Muralhas,Adega de Monção,Portugal,Sparkling,Vinho Verde Bruto Muralhas by Adega de Monção (Portugal)
78,102051,Vinho Verde Fonte,Aveleda,Portugal,White,Vinho Verde Fonte by Aveleda (Portugal)
79,102055,Fine Ruby Port,Sandeman,Portugal,Dessert/Port,Fine Ruby Port by Sandeman (Portugal)
80,102079,Maré Alta,Fonte Pequena,Portugal,White,Maré Alta by Fonte Pequena (Portugal)
81,102126,Tinto,Alfacinha,Portugal,Red,Tinto by Alfacinha (Portugal)
82,102280,Vinho Verde Rosé,Gazela,Portugal,Rosé,Vinho Verde Rosé by Gazela (Portugal)
83,102292,Rosé (Touriga Nacional-Syrah-Aragonez),Ciconia,Portugal,Rosé,Rosé (Touriga Nacional-Syrah-Aragonez) by Ciconia (Portugal)
84,102304,Heritage Ruby Port,Warre's,Portugal,Dessert/Port,Heritage Ruby Port by Warre's (Portugal)
85,102341,Fine Ruby Port,Cockburn's,Portugal,Dessert/Port,Fine Ruby Port by Cockburn's (Portugal)
86,102392,Terras do Demo Touriga Nacional,Távora,Portugal,Sparkling,Terras do Demo Touriga Nacional by Távora (Portugal)
87,102448,20 Year Old Tawny Port,Fonseca,Portugal,Dessert/Port,20 Year Old Tawny Port by Fonseca (Portugal)
88,102466,Telhas Tinto,Terra d'Alter,Portugal,Red,Telhas Tinto by Terra d'Alter (Portugal)
89,102547,Espumante de Vinho Verde Meio Seco,Casal Garcia,Portugal,Sparkling,Espumante de Vinho Verde Meio Seco by Casal Garcia (Portugal)
90,102645,Terras de Felgueiras Espumante de Vinho Verde Seco Branco,Cooperativa Agricola de Felgueiras,Portugal,Sparkling,Terras de Felgueiras Espumante de Vinho Verde Seco Branco by Cooperativa Agricola de Felgueiras (Portugal)
91,102902,Pátria Alentejo Selection Reserva,Carmim,Portugal,Red,Pátria Alentejo Selection Reserva by Carmim (Portugal)
92,102950,Douro Peccatore,Quinta do Portal,Portugal,Red,Douro Peccatore by Quinta do Portal (Portugal)
93,103003,Além do Rio Branco,Azueira,Portugal,White,Além do Rio Branco by Azueira (Portugal)
94,103070,Calda Bordaleza Tinto,Campolargo,Portugal,Red,Calda Bordaleza Tinto by Campolargo (Portugal)
95,103423,Medium Dry Sherry,Sandeman,Spain,Dessert,Medium Dry Sherry by Sandeman (Spain)
96,103433,Regional Tinto,Mundus,Portugal,Red,Regional Tinto by Mundus (Portugal)
97,103435,Lacrau Colheita Field Blend,Secret Spot Wines,Portugal,Red,Lacrau Colheita Field Blend by Secret Spot Wines (Portugal)
98,103471,Presidential Colheita Port,C. da Silva,Portugal,Dessert/Port,Presidential Colheita Port by C. da Silva (Portugal)
99,103474,Grand'Arte Touriga Nacional,DJF Vinhos,Portugal,Red,Grand'Arte Touriga Nacional by DJF Vinhos (Portugal)
100,103637,Casa Burmester Touriga Nacional,Burmester,Portugal,Red,Casa Burmester Touriga Nacional by Burmester (Portugal)
101,103667,Maria Izabel Rosé,Quinta Maria Izabel,Portugal,Rosé,Maria Izabel Rosé by Quinta Maria Izabel (Portugal)
102,103923,Alvarinho,Quinta d'Amares,Portugal,White,Alvarinho by Quinta d'Amares (Portugal)
103,103989,Indie Xisto Tinto,Luis Seabra,Portugal,Red,Indie Xisto Tinto by Luis Seabra (Portugal)
104,104000,Bairrada Reserva Da Familia,Aveleda,Portugal,White,Bairrada Reserva Da Familia by Aveleda (Portugal)
105,104005,Branco,Quinta da Fonte Souto,Portugal,White,Branco by Quinta da Fonte Souto (Portugal)
106,104026,20 Anos Tawny Porto,Bulas,Portugal,Dessert/Port,20 Anos Tawny Porto by Bulas (Portugal)
107,104580,Aragonêz Rosé,Mateus,Portugal,Rosé,Aragonêz Rosé by Mateus (Portugal)
108,104585,Branco,Fado,Portugal,White,Branco by Fado (Portugal)
109,104616,Reserva da Família Alvarinho,Aveleda,Portugal,White,Reserva da Família Alvarinho by Aveleda (Portugal)
110,104706,Tiroliro Alvarinho,Casa de Vila Verde,Portugal,White,Tiroliro Alvarinho by Casa de Vila Verde (Portugal)
111,104797,Quinta Da Gricha Vintage Port,Churchill's,Portugal,Dessert/Port,Quinta Da Gricha Vintage Port by Churchill's (Portugal)
112,104821,10 Anos Tawny Porto,Bulas,Portugal,Dessert/Port,10 Anos Tawny Porto by Bulas (Portugal)
113,104878,10 Year Old Tawny Porto,Quarles Harris,Portugal,Dessert/Port,10 Year Old Tawny Porto by Quarles Harris (Portugal)
114,104976,Late Bottled Vintage Porto,Bulas,Portugal,Dessert/Port,Late Bottled Vintage Porto by Bulas (Portugal)
115,105004,20 Years Old Tawny Porto,Krohn,Portugal,Dessert/Port,20 Years Old Tawny Porto by Krohn (Portugal)
116,105032,Diga? Branco,Campolargo,Portugal,White,Diga? Branco by Campolargo (Portugal)
117,105141,Don Fino Superior Fino Sherry,Sandeman,Spain,Dessert,Don Fino Superior Fino Sherry by Sandeman (Spain)
118,105364,Character Medium Dry Amontillado Sherry,Sandeman,Spain,Dessert,Character Medium Dry Amontillado Sherry by Sandeman (Spain)
119,105488,Touriga Nacional,Quinta Dona Mafalda,Portugal,Red,Touriga Nacional by Quinta Dona Mafalda (Portugal)
120,105585,Terras de Basto Tinto,Quinta de Soutelos,Portugal,Red,Terras de Basto Tinto by Quinta de Soutelos (Portugal)
121,105599,Primata Touriga Nacional,Niepoort,Portugal,Red,Primata Touriga Nacional by Niepoort (Portugal)
122,105656,Private Alvarinho,Anselmo Mendes,Portugal,White,Private Alvarinho by Anselmo Mendes (Portugal)
123,105727,Tinta Negra Rosé,Ilha,Portugal,Rosé,Tinta Negra Rosé by Ilha (Portugal)
124,105748,Porto Colheita,Quinta do Portal,Portugal,Dessert/Port,Porto Colheita by Quinta do Portal (Portugal)
125,105763,Porto Colheita,Quinta do Infantado,Portugal,Dessert/Port,Porto Colheita by Quinta do Infantado (Portugal)
126,105770,Colheita Porto,Quinta das Carvalhas,Portugal,Dessert/Port,Colheita Porto by Quinta das Carvalhas (Portugal)
127,105787,Douro Tourgia Franca,Passadouro,Portugal,Red,Douro Tourgia Franca by Passadouro (Portugal)
128,105911,White Reserve Porto,Bulas,Portugal,Dessert/Port,White Reserve Porto by Bulas (Portugal)
129,105969,Colheita Porto,Quinta Vale D. Maria,Portugal,Dessert/Port,Colheita Porto by Quinta Vale D. Maria (Portugal)
130,106004,Touriga Franca,Calços do Tanha,Portugal,Red,Touriga Franca by Calços do Tanha (Portugal)
131,106091,Danaide Vinho Verde,Adega de Monção,Portugal,Red,Danaide Vinho Verde by Adega de Monção (Portugal)
132,106468,Vinho Verde Rosé,Broadbend,Portugal,Rosé,Vinho Verde Rosé by Broadbend (Portugal)
133,106530,Nik Weis Selection Urban Riesling,Weingut Nik Weis-St. Urbans-Hof,Germany,White,Nik Weis Selection Urban Riesling by Weingut Nik Weis-St. Urbans-Hof (Germany)
134,106531,Riesling Trocken,Hans Baer,Germany,White,Riesling Trocken by Hans Baer (Germany)
135,106534,Riesling Trocken,Robert Weil,Germany,White,Riesling Trocken by Robert Weil (Germany)
136,106536,Gelblack Riesling Trocken,Schloss Johannisberg,Germany,White,Gelblack Riesling Trocken by Schloss Johannisberg (Germany)
137,106537,Eins Zwei Dry Riesling,Leitz,Germany,White,Eins Zwei Dry Riesling by Leitz (Germany)
138,106540,Riesling,Clean Slate,Germany,White,Riesling by Clean Slate (Germany)
139,106541,Riesling Trocken,Dönnhoff,Germany,White,Riesling Trocken by Dönnhoff (Germany)
140,106542,Rheinhessen Riesling Feinherb,Dr. Willkomm,Germany,White,Rheinhessen Riesling Feinherb by Dr. Willkomm (Germany)
141,106544,Pinot Noir Rosé,Villa Wolf,Germany,Rosé,Pinot Noir Rosé by Villa Wolf (Germany)
142,106552,Riesling Kabinett Blue Slate,Dr. Loosen,Germany,White,Riesling Kabinett Blue Slate by Dr. Loosen (Germany)
143,106553,Riesling Trocken,Wittmann,Germany,White,Riesling Trocken by Wittmann (Germany)
144,106629,Spätburgunder,Meyer-Näkel,Germany,Red,Spätburgunder by Meyer-Näkel (Germany)
145,106635,Malterdinger Spätburgunder,Bernhard Huber,Germany,Red,Malterdinger Spätburgunder by Bernhard Huber (Germany)
146,106639,Pinot Noir Rosé,Emma Reichart,Germany,Rosé,Pinot Noir Rosé by Emma Reichart (Germany)
147,106668,Haus Klosterberg Pinot Noir,Markus Molitor,Germany,Red,Haus Klosterberg Pinot Noir by Markus Molitor (Germany)
148,106669,Blauer Spätburgunder Trocken,Knipser,Germany,Red,Blauer Spätburgunder Trocken by Knipser (Germany)
149,106681,Pinot Noir Rosè,Leitz,Germany,Rosé,Pinot Noir Rosè by Leitz (Germany)
150,106688,Spätburgunder Tradition,Philipp Kuhn,Germany,Red,Spätburgunder Tradition by Philipp Kuhn (Germany)
151,106748,J² Gau-Odernheimer Spätburgunder,Becker Landgraf,Germany,Red,J² Gau-Odernheimer Spätburgunder by Becker Landgraf (Germany)
152,106752,Spätburgunder (Pinot Noir),Georg Breuer,Germany,Red,Spätburgunder (Pinot Noir) by Georg Breuer (Germany)
153,106803,Spätburgunder Trocken,Kloster Eberbach,Germany,Red,Spätburgunder Trocken by Kloster Eberbach (Germany)
154,106831,Spätburgunder Trocken,Winzergenossenschaft Mayschoss-Altenahr,Germany,Red,Spätburgunder Trocken by Winzergenossenschaft Mayschoss-Altenahr (Germany)
155,106867,Dornfelder Trocken,Lidl,Germany,Red,Dornfelder Trocken by Lidl (Germany)
156,106889,Clarette Rosé Trocken,Knipser,Germany,Rosé,Clarette Rosé Trocken by Knipser (Germany)
157,107023,Ürziger Würzgarten Riesling Kabinett,Markus Molitor,Germany,White,Ürziger Würzgarten Riesling Kabinett by Markus Molitor (Germany)
158,107030,Riesling Medium Sweet,Blüfeld,Germany,Dessert,Riesling Medium Sweet by Blüfeld (Germany)
159,107044,J² Gau-Odernheimer Riesling,Becker Landgraf,Germany,White,J² Gau-Odernheimer Riesling by Becker Landgraf (Germany)
160,107183,Brauneberger Juffer Riesling Auslese,Fritz Haag,Germany,Dessert,Brauneberger Juffer Riesling Auslese by Fritz Haag (Germany)
161,107214,Black Label Nik Weis Saar Riesling,Weingut Nik Weis-St. Urbans-Hof,Germany,White,Black Label Nik Weis Saar Riesling by Weingut Nik Weis-St. Urbans-Hof (Germany)
162,107320,Rosé de Diel Trocken,Diel,Germany,Rosé,Rosé de Diel Trocken by Diel (Germany)
163,107674,Lorch Riesling,August Kesseler,Germany,White,Lorch Riesling by August Kesseler (Germany)
164,107691,Forster Ungeheuer Riesling Eiswein,Dr. Von Bassermann-Jordan,Germany,Dessert,Forster Ungeheuer Riesling Eiswein by Dr. Von Bassermann-Jordan (Germany)
165,107846,Malterdinger Bienenberg Weissburgunder,Bernhard Huber,Germany,White,Malterdinger Bienenberg Weissburgunder by Bernhard Huber (Germany)
166,108188,Pittermännchen Riesling GG,Diel,Germany,White,Pittermännchen Riesling GG by Diel (Germany)
167,108242,Blue Burg Layer Schlosskapelle Kerner Spätlese,Pieroth,Germany,White,Blue Burg Layer Schlosskapelle Kerner Spätlese by Pieroth (Germany)
168,108329,Saarburger Riesling Kabinett,Forstmeister Geltz-Zilliken,Germany,White,Saarburger Riesling Kabinett by Forstmeister Geltz-Zilliken (Germany)
169,108360,Nieder-Hilbersheimer Riesling Eisenerz,Knewitz,Germany,White,Nieder-Hilbersheimer Riesling Eisenerz by Knewitz (Germany)
170,108681,Mulheimer Helenenkloster Riesling Eiswein,Weingut Max Ferd. Richter,Germany,Dessert,Mulheimer Helenenkloster Riesling Eiswein by Weingut Max Ferd. Richter (Germany)
171,108705,Oberrotweiler Spätburgunder Spätlese Trocken,Oberrotweil,Germany,Red,Oberrotweiler Spätburgunder Spätlese Trocken by Oberrotweil (Germany)
172,108966,Niersteiner Auflangen Riesling Spätlese,Fritz Windisch,Germany,White,Niersteiner Auflangen Riesling Spätlese by Fritz Windisch (Germany)
173,108974,Felix Lemberger Trocken,Wachtstetter,Germany,Red,Felix Lemberger Trocken by Wachtstetter (Germany)
174,108976,Bernkasteler Badstube Riesling Spätlese,Selbach-Oster,Germany,White,Bernkasteler Badstube Riesling Spätlese by Selbach-Oster (Germany)
175,109250,Nackenheim Rothenberg,Weingut Gunderloch,Germany,White,Nackenheim Rothenberg by Weingut Gunderloch (Germany)
176,109349,Urgestein Riesling (Trocken),Trenz,Germany,White,Urgestein Riesling (Trocken) by Trenz (Germany)
177,109547,Graf Von Are Spätburgunder,Brogsitter,Germany,Red,Graf Von Are Spätburgunder by Brogsitter (Germany)
178,109705,Nashorn Trollinger-Lemberger Trocken,Aldinger,Germany,Red,Nashorn Trollinger-Lemberger Trocken by Aldinger (Germany)
179,109826,Trollinger-Lemberger Trocken,Rolf Willy,Germany,Red,Trollinger-Lemberger Trocken by Rolf Willy (Germany)
180,109847,Kinheimer Rosenberg Riesling-Kabinett Trocken,Kees-Kieren,Germany,White,Kinheimer Rosenberg Riesling-Kabinett Trocken by Kees-Kieren (Germany)
181,109954,Merlot Reserve Trocken,Aldinger,Germany,Red,Merlot Reserve Trocken by Aldinger (Germany)
182,110034,Hörsteiner Abtsberg Silvaner Trocken,Staatlicher Hofkeller,Germany,White,Hörsteiner Abtsberg Silvaner Trocken by Staatlicher Hofkeller (Germany)
183,110109,Crescentia Assmannshäuser Höllenberg Blanc de Noirs Extra Brut,Kloster Eberbach,Germany,Sparkling,Crescentia Assmannshäuser Höllenberg Blanc de Noirs Extra Brut by Kloster Eberbach (Germany)
184,110334,Bermatinger Leopoldsberg B Spätburgunder,Markgraf von Baden,Germany,Red,Bermatinger Leopoldsberg B Spätburgunder by Markgraf von Baden (Germany)
185,110680,Dorsheim Pittermannchen Riesling Spätlese,Diel,Germany,Dessert,Dorsheim Pittermannchen Riesling Spätlese by Diel (Germany)
186,111328,Lorenzhöfer Riesling Beerenauslese,Karlsmühle,Germany,Dessert,Lorenzhöfer Riesling Beerenauslese by Karlsmühle (Germany)
187,111395,Pauillac (Premier Grand Cru Classé),Château Mouton Rothschild,France,Red,Pauillac (Premier Grand Cru Classé) by Château Mouton Rothschild (France)
188,111398,Rouge,La Vieille Ferme,France,Red,Rouge by La Vieille Ferme (France)
189,111415,Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild,France,Red,Pauillac (Premier Grand Cru Classé) by Château Lafite Rothschild (France)
190,111417,Pauillac (Grand Cru Classé),Château Pichon Longueville Comtesse de Lalande,France,Red,Pauillac (Grand Cru Classé) by Château Pichon Longueville Comtesse de Lalande (France)
191,111420,Beaujolais-Villages,Georges Duboeuf,France,Red,Beaujolais-Villages by Georges Duboeuf (France)
192,111421,Châteauneuf-du-Pape,Domaine du Vieux Lazaret,France,Red,Châteauneuf-du-Pape by Domaine du Vieux Lazaret (France)
193,111422,Pauillac (Grand Cru Classé),Château Pichon Baron,France,Red,Pauillac (Grand Cru Classé) by Château Pichon Baron (France)
194,111429,Saint-Estèphe (Grand Cru Classé),Château Montrose,France,Red,Saint-Estèphe (Grand Cru Classé) by Château Montrose (France)
195,111431,Saint-Julien (Grand Cru Classé),Château Léoville Poyferré,France,Red,Saint-Julien (Grand Cru Classé) by Château Léoville Poyferré (France)
196,111433,Saint-Julien (Grand Cru Classé),Château Gruaud Larose,France,Red,Saint-Julien (Grand Cru Classé) by Château Gruaud Larose (France)
197,111434,Saint-Julien (Grand Cru Classé),Château Lagrange,France,Red,Saint-Julien (Grand Cru Classé) by Château Lagrange (France)
198,111445,Bourgogne Couvent des Jacobins,Louis Jadot,France,Red,Bourgogne Couvent des Jacobins by Louis Jadot (France)
199,111448,Brut Vintage Champagne (Extra Cuvée de Réserve),Pol Roger,France,Sparkling,Brut Vintage Champagne (Extra Cuvée de Réserve) by Pol Roger (France)
200,111454,Rosé,La Vieille Ferme,France,Rosé,Rosé by La Vieille Ferme (France)
201,111455,Côtes-du-Rhône Blanc,E. Guigal,France,White,Côtes-du-Rhône Blanc by E. Guigal (France)
202,111457,Châteauneuf-du-Pape,Château Mont-Redon,France,Red,Châteauneuf-du-Pape by Château Mont-Redon (France)
203,111458,Saint-Estèphe (Grand Cru Classé),Château Calon-Ségur,France,Red,Saint-Estèphe (Grand Cru Classé) by Château Calon-Ségur (France)
204,111461,Brut (R de Ruinart) Champagne,Ruinart,France,Sparkling,Brut (R de Ruinart) Champagne by Ruinart (France)
205,111466,Bourgogne Chardonnay,Louis Jadot,France,White,Bourgogne Chardonnay by Louis Jadot (France)
206,111468,Blanc de Blancs Brut Champagne,Ruinart,France,Sparkling,Blanc de Blancs Brut Champagne by Ruinart (France)
207,111471,Riesling Alsace,Trimbach,France,White,Riesling Alsace by Trimbach (France)
208,111475,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Figeac,France,Red,Saint-Émilion Grand Cru (Premier Grand Cru Classé) by Château Figeac (France)
209,111478,Sauternes (Premier Grand Cru Classé),Château Suduiraut,France,Dessert,Sauternes (Premier Grand Cru Classé) by Château Suduiraut (France)
210,111479,Impérial Rosé Brut Champagne,Moët & Chandon,France,Sparkling,Impérial Rosé Brut Champagne by Moët & Chandon (France)
211,111484,Royal Brut Champagne,Pommery,France,Sparkling,Royal Brut Champagne by Pommery (France)
212,111495,Pauillac (Grand Cru Classé),Château Duhart-Milon,France,Red,Pauillac (Grand Cru Classé) by Château Duhart-Milon (France)
213,111503,Blanc,La Vieille Ferme,France,White,Blanc by La Vieille Ferme (France)
214,111516,Haut-Médoc (Grand Cru Classé),Château La Lagune,France,Red,Haut-Médoc (Grand Cru Classé) by Château La Lagune (France)
215,111521,Grand Vintage Brut Champagne,Moët & Chandon,France,Sparkling,Grand Vintage Brut Champagne by Moët & Chandon (France)
216,111524,Bordeaux Supérieur,Château de Seguin,France,Red,Bordeaux Supérieur by Château de Seguin (France)
217,111538,Grand Terroir Tautavel Grenache-Syrah-Carignan,Gérard Bertrand,France,Red,Grand Terroir Tautavel Grenache-Syrah-Carignan by Gérard Bertrand (France)
218,111544,Dom Ruinart Blanc de Blancs Brut Champagne,Ruinart,France,Sparkling,Dom Ruinart Blanc de Blancs Brut Champagne by Ruinart (France)
219,111558,Cuvée Réservée Châteauneuf-du-Pape Rouge,Pegau,France,Red,Cuvée Réservée Châteauneuf-du-Pape Rouge by Pegau (France)
220,111587,Haut-Médoc (Grand Cru Classé),Château Belgrave,France,Red,Haut-Médoc (Grand Cru Classé) by Château Belgrave (France)
221,111590,Pessac-Léognan,Château Larrivet Haut-Brion,France,Red,Pessac-Léognan by Château Larrivet Haut-Brion (France)
222,111621,Pouilly-Fumé,de Ladoucette,France,White,Pouilly-Fumé by de Ladoucette (France)
